State,City,,Population1,"Violent
crime",Murder,"Rape
(revised
definition)2","Rape
(legacy
definition)3",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson4
FLORIDA,TAMPA,2015,"364,383","1,127",21,32,0,296,778,"4,075",934,"2,863",278,35
FLORIDA,TAMPA,2016,"364,383",984,12,43,0,258,671,"4,031",761,"2,917",353,34
FLORIDA,WEST PALM BEACH,2015,"104,919",416,6,25,0,123,262,"2,451",355,"1,861",235,6
FLORIDA,WEST PALM BEACH,2016,"104,919",479,3,41,0,151,284,"2,671",439,"1,949",283,12
GEORGIA,ATHENS-CLARKE COUNTY,2015,"120,858",257,1,0,25,62,169,"1,917",371,"1,444",102,16
GEORGIA,ATHENS-CLARKE COUNTY,2016,"120,858",274,1,0,27,76,170,"2,096",425,"1,559",112,9
GEORGIA,ATLANTA,2015,"464,710","2,529",45,0,83,905,"1,496","12,145","2,258","7,703","2,184",27
GEORGIA,ATLANTA,2016,"464,710","2,531",57,0,60,"1,092","1,322","11,522","2,171","7,507","1,844",27
GEORGIA,SANDY SPRINGS,2015,"103,898",73,2,0,6,41,24,"1,239",272,888,79,2
GEORGIA,SANDY SPRINGS,2016,"103,898",51,0,0,5,27,19,"1,296",234,985,77,4
GEORGIA,SAVANNAH-CHATHAM METROPOLITAN,2015,"240,178",499,20,0,30,216,233,"4,264",874,"2,895",495,9
GEORGIA,SAVANNAH-CHATHAM METROPOLITAN,2016,"240,178",574,28,0,28,254,264,"3,950",789,"2,720",441,6
HAWAII,HONOLULU,2015,"999,307","1,158",12,147,0,438,561,"13,836","2,072","10,144","1,620",126
HAWAII,HONOLULU,2016,"999,307","1,165",9,181,0,378,597,"15,535","1,843","11,477","2,215",139
IDAHO,BOISE,2015,"218,844",312,0,68,0,17,227,"2,281",308,"1,833",140,23
IDAHO,BOISE,2016,"218,844",330,2,64,0,20,244,"2,482",353,"1,961",168,19
ILLINOIS,AURORA,2015,"201,034",308,5,33,0,45,225,"1,338",208,"1,066",64,6
ILLINOIS,AURORA,2016,"201,034",306,2,20,0,59,225,"1,163",197,907,59,11
ILLINOIS,CHICAGO,2015,"2,728,695","11,081",213,730,0,"4,048","6,090","36,779","5,698","26,310","4,771",247
ILLINOIS,CHICAGO,2016,"2,728,695","13,729",317,749,0,"5,164","7,499","39,151","6,176","27,768","5,207",285
ILLINOIS,ELGIN,2015,"111,832",97,3,21,0,20,53,788,114,645,29,2
ILLINOIS,ELGIN,2016,"111,832",124,0,16,0,39,69,651,93,523,35,10
ILLINOIS,JOLIET,2015,"147,991",198,3,19,0,51,125,"1,594",328,"1,219",47,18
ILLINOIS,JOLIET,2016,"147,991",260,2,31,0,69,158,"1,378",282,"1,038",58,24
ILLINOIS,NAPERVILLE,2015,"147,101",32,0,3,0,10,19,759,64,680,15,1
ILLINOIS,NAPERVILLE,2016,"147,101",37,0,4,0,13,20,697,72,608,17,1
ILLINOIS,PEORIA,2015,"116,066",347,6,27,0,124,190,"2,016",471,"1,479",66,17
